age,years_cdl,years_owner_op,fico_score,is_foreign_born,violations_3y,avg_weekly_miles,loads_per_month,freight_type,unique_brokers_6m,on_time_delivery_pct,avg_days_between_loads,gross_weekly_revenue,net_weekly_income,payment_to_income_ratio,avg_account_balance,prior_late_payments,region,contract_start_month,default_12m
47,26,22,707,1,2,2334,10,dry_van,4,73.7,0.82,5654,1083,0.639,1616,1,southeast,4,0
27,5,3,635,1,0,2022,11,dry_van,4,93.9,1.85,4460,551,1.256,4049,2,south,7,0
49,24,19,614,1,1,2666,15,dry_van,9,79.1,2.71,6112,998,0.693,2152,1,south,3,0
63,41,29,779,1,0,1737,9,dry_van,2,78.7,1.98,3989,884,0.783,1285,2,midwest,12,0
44,21,19,640,1,0,2389,15,dry_van,7,91.3,1.43,5125,693,0.998,785,3,midwest,3,1
39,17,16,690,0,2,2065,13,dry_van,2,88.7,2.74,4696,715,0.967,3182,3,southeast,9,0
41,19,19,602,1,0,2222,7,reefer,4,78.6,2.94,5538,1279,0.541,1658,0,west,11,1
48,26,15,688,1,0,2868,11,dry_van,2,91.4,3.99,5190,1029,0.672,1604,0,midwest,11,0
25,0,0,538,1,0,2838,14,dry_van,7,84.1,4.93,6451,1470,0.471,2041,1,northeast,4,0
44,20,16,608,0,1,2527,12,reefer,2,87.0,3.86,6594,1221,0.567,4919,0,midwest,6,0
38,15,11,555,0,1,2744,13,dry_van,1,89.6,1.56,6135,1596,0.433,205,0,midwest,9,1
60,27,27,598,1,0,2357,10,dry_van,3,88.2,5.34,4588,654,1.059,1033,2,northeast,2,1
40,13,8,728,0,1,3692,14,reefer,6,94.1,1.29,8238,1855,0.373,2608,1,midwest,8,0
59,38,35,597,0,0,2735,11,reefer,8,93.0,4.32,6129,1854,0.373,2250,0,west,12,0
31,5,3,690,0,0,2334,21,dry_van,6,67.8,2.4,5167,1154,0.6,15659,6,midwest,2,0
48,24,22,746,0,1,2994,7,dry_van,4,84.3,1.2,6926,1387,0.499,2617,0,south,4,0
45,19,18,638,0,3,3158,21,dry_van,6,72.5,1.02,5494,817,0.847,7234,2,west,3,0
33,11,0,710,1,2,2252,9,dry_van,10,55.3,2.85,4652,1278,0.542,4569,1,south,6,0
44,21,16,677,1,2,1962,16,reefer,6,81.1,0.81,4701,586,1.181,6280,1,west,11,0
54,28,24,648,0,1,2051,15,reefer,3,79.6,2.77,5004,758,0.913,1466,1,midwest,11,0
39,13,13,693,1,1,2299,9,dry_van,6,55.5,3.33,4548,768,0.901,534,1,midwest,4,1
25,2,2,769,1,0,2576,14,reefer,3,70.4,6.48,6160,1631,0.424,15597,3,midwest,3,0
42,16,5,595,0,0,1867,10,flatbed,1,90.3,1.11,4802,684,1.011,1980,2,southeast,3,0
33,12,4,573,0,0,2412,13,flatbed,6,83.0,2.52,6097,1713,0.404,1510,1,south,11,0
39,15,14,569,1,0,2506,13,dry_van,10,75.1,4.83,5531,1637,0.423,577,1,west,6,1
41,20,18,710,0,0,2746,11,flatbed,7,65.1,1.21,6912,2354,0.294,3786,5,midwest,8,0
25,4,0,719,1,1,2875,10,dry_van,6,95.9,3.35,6324,1658,0.417,100,1,south,12,0
26,5,0,602,0,2,2781,13,dry_van,3,76.0,4.29,5561,1181,0.586,316,2,south,3,0
47,18,16,490,0,0,3406,9,dry_van,5,91.8,2.28,7286,2255,0.307,278,2,northeast,7,1
37,10,6,593,0,0,3092,9,dry_van,3,58.4,2.77,6338,2048,0.338,491,0,southeast,11,0
21,0,0,678,0,0,2700,15,dry_van,1,94.6,2.13,5847,1852,0.374,1257,2,northeast,2,0
50,27,18,635,0,1,2163,13,dry_van,4,90.9,5.15,4645,766,0.904,3823,1,southeast,2,0
45,24,23,653,0,1,2296,7,reefer,4,94.0,6.68,5260,1272,0.544,1377,2,midwest,3,0
35,14,12,603,1,1,1957,8,reefer,5,84.9,2.02,4554,808,0.857,5192,0,northeast,12,0
29,4,0,711,1,2,2669,5,reefer,1,86.2,1.3,6258,1727,0.401,21351,0,midwest,1,0
50,24,23,664,1,2,2749,15,dry_van,5,89.3,3.16,5739,1683,0.411,2384,1,midwest,10,0
45,19,0,681,1,0,3002,14,dry_van,9,72.0,1.65,5267,1544,0.448,5692,1,south,6,0
66,34,19,651,0,1,2720,8,reefer,3,76.9,2.34,7218,2497,0.277,4418,0,midwest,6,0
46,23,19,677,1,0,3074,14,reefer,3,91.8,6.8,7206,1937,0.357,2858,1,south,5,0
46,25,23,672,0,1,3084,19,dry_van,7,88.9,1.67,6971,2262,0.306,441,1,midwest,7,0
40,19,14,575,1,0,2137,7,flatbed,3,97.7,0.66,4710,607,1.139,1819,1,south,7,1
50,28,6,666,1,1,2367,10,reefer,3,85.3,2.29,5757,1475,0.469,697,1,south,8,0
48,17,17,695,1,1,2595,7,reefer,10,82.5,0.89,6121,1083,0.639,2910,1,midwest,3,0
55,34,30,721,1,0,2282,15,reefer,3,70.0,1.63,4742,1319,0.525,2767,1,south,7,0
37,14,10,669,1,2,2491,12,reefer,4,83.9,0.59,6747,2153,0.321,1112,3,southeast,2,0
38,8,7,572,0,3,2736,11,reefer,1,86.2,6.77,7300,1919,0.361,3968,0,south,2,0
37,14,9,583,1,0,2545,13,reefer,10,95.0,5.64,6311,1223,0.566,1243,0,midwest,12,0
50,29,28,610,0,2,2600,10,dry_van,3,84.1,5.67,6021,1197,0.578,2728,0,midwest,4,0
57,32,27,653,1,0,2176,11,dry_van,6,82.5,3.89,4862,1250,0.554,500,2,west,7,0
37,16,15,631,0,1,2828,13,dry_van,4,81.9,4.23,5853,1491,0.464,325,1,midwest,9,0
38,11,0,561,0,0,2795,10,flatbed,6,64.1,1.14,6143,1391,0.498,9430,0,midwest,9,1
45,24,11,561,1,1,2257,10,dry_van,6,64.4,0.94,4371,992,0.697,6063,1,midwest,2,1
40,17,0,493,1,1,2018,11,dry_van,9,83.5,2.31,4115,989,0.7,3184,0,south,6,1
52,27,26,422,0,2,3154,12,dry_van,3,83.7,1.13,8080,2275,0.304,717,2,west,8,1
21,0,0,631,0,1,3387,14,dry_van,2,90.3,2.16,6663,1718,0.403,650,2,west,5,0
34,13,6,802,1,0,2706,14,flatbed,2,90.3,1.73,6717,2021,0.342,424,0,southeast,5,0
34,11,10,766,0,2,2437,7,reefer,1,87.4,0.5,5878,1525,0.454,1562,1,northeast,1,0
21,0,0,572,1,1,3071,17,dry_van,5,70.1,5.9,6894,2158,0.321,2885,2,midwest,12,1
32,10,4,650,1,0,2812,12,flatbed,4,83.5,1.59,7050,1805,0.383,1089,1,midwest,4,0
33,9,9,537,1,0,2505,11,flatbed,5,80.9,2.16,6177,1172,0.591,9787,0,midwest,5,0
40,15,15,548,0,2,3036,9,reefer,4,80.5,1.51,8791,2861,0.242,163,0,midwest,12,0
53,24,24,556,1,0,2236,19,reefer,5,83.0,4.12,5141,764,0.906,4449,1,southeast,11,1
40,7,0,624,1,0,2289,20,reefer,5,75.9,0.5,6593,2083,0.332,1585,1,south,2,0
32,9,9,627,1,1,2764,19,reefer,7,86.9,3.16,6409,1085,0.638,1957,2,midwest,6,0
41,20,19,658,1,0,2651,12,flatbed,6,83.8,0.5,6802,1201,0.576,100,1,south,8,0
52,30,30,686,1,0,2887,13,reefer,4,96.8,11.36,7387,1872,0.37,804,1,south,4,0
32,11,0,616,1,1,3137,17,dry_van,2,64.2,6.72,6512,1429,0.484,479,0,southeast,3,0
33,10,4,643,0,1,1901,11,dry_van,4,82.4,1.21,3577,384,1.802,7535,2,west,8,0
48,27,24,563,0,1,2618,14,dry_van,3,65.1,0.79,5769,1653,0.419,913,0,northeast,12,1
40,11,2,546,1,1,3455,13,dry_van,4,71.6,7.59,6552,1829,0.378,223,0,southeast,4,1
48,27,23,535,1,0,2332,19,reefer,3,67.4,4.28,4492,1021,0.678,2572,0,midwest,2,0
42,16,9,685,1,1,2278,17,flatbed,6,59.0,1.58,6004,1643,0.421,5312,0,south,12,0
49,27,24,616,0,1,1592,12,dry_van,3,81.7,2.1,3073,478,1.448,3785,1,south,6,0
32,10,5,509,1,0,2646,17,dry_van,4,62.6,0.64,6154,1322,0.524,1725,0,southeast,3,1
42,16,10,636,0,1,2861,12,reefer,6,73.3,1.24,7004,1947,0.355,4129,0,midwest,1,0
40,19,18,553,1,0,2860,10,dry_van,5,87.4,2.53,6558,1873,0.37,598,1,southeast,10,0
30,8,4,756,0,1,2133,11,dry_van,4,65.4,0.55,5152,930,0.744,2489,3,northeast,2,0
26,3,1,599,0,1,2596,13,reefer,2,69.0,0.86,6601,1315,0.526,3010,1,northeast,10,0
49,25,24,688,0,2,2700,9,dry_van,1,67.4,1.33,6380,1971,0.351,1811,1,midwest,11,0
38,15,13,716,1,1,2623,10,reefer,2,57.3,0.5,5955,1447,0.478,1174,3,south,7,0
32,9,6,573,1,1,2107,7,reefer,4,89.1,7.07,5524,1451,0.477,636,3,midwest,2,0
41,16,0,645,1,4,2635,9,reefer,4,90.0,4.76,6607,1570,0.441,913,2,south,6,0
53,32,22,679,0,2,2233,13,dry_van,2,52.4,0.76,5017,1138,0.608,5944,1,west,10,0
21,0,0,648,1,1,1758,16,dry_van,9,87.6,1.43,4140,704,0.983,805,1,southeast,10,0
27,4,0,665,0,1,2907,15,dry_van,3,75.6,5.99,6874,1428,0.485,1207,1,south,3,0
33,9,8,547,0,2,2663,14,dry_van,5,98.7,0.66,5892,1491,0.464,3729,0,midwest,7,0
57,34,34,679,0,0,2866,7,dry_van,5,83.8,3.37,5102,1114,0.621,402,1,northeast,2,0
45,22,21,606,1,1,2359,9,reefer,5,97.4,5.25,6311,1760,0.393,716,1,south,1,0
50,28,22,664,1,1,2882,11,dry_van,4,94.5,1.19,5909,1819,0.38,237,1,southeast,11,0
31,8,0,704,0,1,3060,15,flatbed,1,77.1,4.81,8010,2528,0.274,18290,2,northeast,8,0
31,9,4,687,0,1,3389,10,reefer,5,69.9,1.77,8592,2778,0.249,1249,1,south,6,0
46,25,25,664,0,3,2966,8,dry_van,3,92.2,3.29,5128,1132,0.612,3514,1,midwest,3,0
43,15,0,685,1,0,2773,17,dry_van,5,87.5,2.02,5775,1199,0.577,20063,1,northeast,4,0
47,23,21,688,0,2,1979,9,dry_van,1,79.6,0.5,4324,894,0.774,404,0,midwest,2,0
40,19,9,745,1,1,2552,8,reefer,8,83.9,1.96,7661,2108,0.328,1586,4,west,12,0
45,24,22,638,0,0,1960,13,dry_van,2,83.5,0.5,4571,891,0.777,938,0,northeast,5,0
44,20,6,651,1,3,2232,12,dry_van,7,52.6,6.53,4393,1005,0.688,1247,1,west,10,1
50,24,23,705,1,1,3480,10,reefer,3,66.3,0.77,9187,2129,0.325,1884,2,midwest,12,0
50,27,25,606,0,1,2140,12,dry_van,8,73.1,2.35,5232,1184,0.584,8510,2,southeast,7,0
26,5,4,547,1,1,1546,9,dry_van,5,82.3,4.09,3250,459,1.507,3416,1,northeast,9,1
21,0,0,675,0,2,2966,10,dry_van,5,88.8,3.63,6415,1534,0.451,11112,0,south,4,0
52,31,30,626,1,0,2297,12,dry_van,8,95.5,1.23,5178,1259,0.55,1990,0,midwest,2,0
54,29,26,555,0,1,2946,5,reefer,3,63.8,1.34,7381,2447,0.283,969,1,south,12,0
32,11,0,675,1,0,2073,15,reefer,10,75.3,3.97,4964,1114,0.621,6186,0,midwest,9,0
23,0,0,740,1,0,2408,7,dry_van,6,94.4,2.0,4660,709,0.976,936,1,northeast,6,0
43,18,4,526,1,1,3138,9,reefer,6,56.2,5.88,6495,1081,0.64,1972,0,south,12,0
51,28,28,712,0,1,2005,16,dry_van,4,82.7,2.07,3927,466,1.486,3362,4,southeast,2,0
60,37,36,462,0,0,2524,14,dry_van,5,86.7,1.34,5151,1340,0.516,4786,5,southeast,9,1
47,26,13,612,1,1,2731,12,reefer,2,65.7,5.72,6480,1922,0.36,1672,1,midwest,12,0
38,16,6,769,1,1,2276,6,dry_van,1,73.0,0.7,5218,837,0.827,4078,1,midwest,9,0
33,12,5,617,1,0,2709,10,reefer,3,60.3,1.76,6034,1278,0.541,865,2,midwest,8,1
42,16,0,646,0,0,2607,11,dry_van,7,81.4,2.44,5138,944,0.733,1252,1,southeast,12,0
39,16,6,693,0,1,2841,11,dry_van,5,76.7,2.47,6386,1872,0.37,3208,1,south,11,0
32,11,4,520,0,0,3429,16,dry_van,4,43.5,3.1,6833,2030,0.341,1842,4,south,10,0
62,36,29,645,1,0,3804,19,reefer,3,83.4,2.61,8626,2398,0.289,846,1,southeast,6,0
60,39,38,644,1,1,2808,14,dry_van,5,65.2,2.5,5962,1601,0.432,4691,1,midwest,12,0
53,31,31,770,1,2,2550,10,flatbed,6,75.4,1.24,6386,1721,0.402,2276,0,west,9,0
33,7,0,553,0,1,2798,16,dry_van,4,92.4,3.57,5376,762,0.908,353,1,southeast,10,0
51,27,26,613,1,3,2495,10,dry_van,7,87.1,1.99,5716,1456,0.475,2883,0,south,1,0
48,25,21,575,1,3,1886,3,reefer,5,99.2,4.08,4949,754,0.918,3200,1,midwest,3,0
46,19,18,568,0,2,2579,8,dry_van,6,70.8,3.5,5315,909,0.761,1718,2,west,4,0
54,32,28,719,0,3,3087,4,dry_van,4,81.3,7.15,7991,2164,0.32,2386,1,midwest,10,0
48,26,25,642,1,1,1941,11,dry_van,3,95.8,9.86,3890,375,1.845,6648,1,south,6,0
49,27,9,601,1,0,2157,11,dry_van,3,83.9,4.11,4643,1029,0.672,267,0,south,1,0
48,22,17,604,0,2,2338,6,reefer,1,93.3,2.02,5004,1136,0.609,4717,1,southeast,2,0
45,24,20,601,0,1,2768,9,reefer,3,88.6,0.63,6378,1921,0.36,121,0,northeast,5,0
24,0,0,607,1,2,3670,7,dry_van,3,63.9,1.99,9237,2425,0.285,811,0,southeast,11,0
43,22,13,551,1,1,2236,12,reefer,5,95.0,1.29,5522,1467,0.472,249,2,northeast,8,0
36,14,12,622,1,0,2641,9,dry_van,8,83.8,1.39,5705,1386,0.499,8748,0,northeast,7,0
29,7,5,615,0,1,2603,16,reefer,8,72.4,2.65,5813,1019,0.679,1278,1,south,5,0
59,36,21,587,1,0,2464,13,reefer,2,98.9,1.66,5224,901,0.768,1761,1,south,4,0
59,36,36,651,1,0,2579,18,flatbed,4,95.8,1.22,7215,2366,0.293,1290,1,northeast,3,0
56,23,10,657,1,2,2391,10,reefer,2,44.6,0.9,5928,1159,0.597,1524,1,west,8,0
45,23,14,601,0,0,3834,20,flatbed,2,69.0,0.69,9146,2370,0.292,1557,1,west,11,0
56,32,23,630,1,0,2937,12,flatbed,6,95.5,3.62,6959,1500,0.461,4810,3,west,1,0
42,21,9,791,1,0,2395,10,flatbed,3,88.7,0.86,6370,2079,0.333,2417,3,northeast,2,0
44,19,15,788,1,0,3133,20,reefer,11,94.4,3.49,8152,2104,0.329,776,0,midwest,10,0
31,8,1,566,0,1,2716,6,dry_van,7,99.3,2.27,5053,1431,0.484,275,1,southeast,2,1
46,24,8,576,0,0,2626,10,reefer,6,62.4,3.84,6276,1334,0.519,6786,1,south,6,1
43,22,22,566,0,2,2518,6,reefer,9,74.4,0.5,6163,1951,0.355,3037,4,southeast,6,0
29,0,0,714,1,0,2487,6,flatbed,8,91.0,4.18,6396,2007,0.345,1304,1,midwest,3,0
41,17,14,612,1,1,2051,5,reefer,4,67.7,5.01,4869,1309,0.528,5572,1,west,12,0
41,19,18,657,1,3,1847,14,dry_van,5,59.3,3.26,3433,445,1.553,19927,1,southeast,10,0
60,39,36,780,0,0,2767,7,dry_van,6,78.7,0.5,5988,1453,0.476,1896,1,northeast,1,0
51,25,24,639,0,1,2514,11,dry_van,5,43.4,3.35,5800,1257,0.551,7909,3,midwest,8,0
42,18,18,689,1,0,2995,15,dry_van,6,73.3,10.21,5591,1411,0.491,1895,1,south,9,0
44,21,19,676,1,1,2200,14,reefer,4,54.8,3.28,5353,1060,0.653,12907,3,west,2,0
42,20,18,599,1,2,2106,13,dry_van,9,88.9,2.97,4706,1049,0.66,2079,0,midwest,7,0
40,15,14,714,0,1,2949,16,dry_van,4,98.4,3.1,5684,1341,0.516,1140,1,southeast,6,0
31,6,4,581,1,1,2467,18,dry_van,9,82.2,2.51,4999,740,0.935,7990,1,south,4,0
40,17,4,734,1,1,2985,8,reefer,5,97.5,3.9,6649,1908,0.363,2107,2,northeast,10,0
35,12,6,599,1,0,2615,14,dry_van,5,89.9,0.92,5642,1146,0.604,1896,2,south,1,0
29,0,0,607,1,1,3445,11,dry_van,7,94.4,4.29,6647,2059,0.336,4635,1,midwest,4,0
47,13,10,564,1,0,2940,11,dry_van,5,94.0,1.13,5325,948,0.73,1655,1,midwest,2,0
46,19,18,575,0,1,2784,7,dry_van,9,86.4,0.87,6228,1890,0.366,265,3,southeast,8,0
24,1,0,610,0,1,2960,10,reefer,3,86.3,0.5,7728,1635,0.423,1245,1,southeast,12,0
41,20,17,470,1,2,2477,11,flatbed,5,84.0,4.4,6165,1980,0.35,924,0,southeast,1,1
52,26,23,624,1,1,1861,17,dry_van,6,81.4,3.39,3272,561,1.233,699,0,west,7,0
53,32,30,604,0,0,2762,8,flatbed,6,86.7,3.58,6394,1396,0.496,5767,1,southeast,2,0
52,30,21,695,0,0,3474,4,reefer,5,62.8,3.94,7981,2713,0.255,1066,0,south,7,0
42,21,21,670,0,0,1569,12,dry_van,6,82.9,0.5,3430,258,2.677,1085,4,southeast,7,0
34,10,9,590,0,0,2811,8,dry_van,6,73.1,2.1,5603,1294,0.535,1670,1,southeast,1,0
31,9,8,608,0,4,1909,12,dry_van,4,65.4,0.5,4190,836,0.828,2616,0,midwest,7,0
45,22,20,624,0,0,2590,14,dry_van,7,68.7,1.65,5113,1062,0.651,3067,3,northeast,9,0
46,23,12,744,1,0,2636,12,dry_van,9,80.1,4.97,6278,1136,0.609,2171,0,west,1,0
55,32,28,582,1,2,2936,10,flatbed,4,91.3,6.69,6586,1934,0.358,2147,1,west,4,0
53,32,23,590,1,0,2695,11,dry_van,6,81.8,3.99,5667,1369,0.506,507,4,northeast,12,1
41,20,9,561,0,0,3218,15,flatbed,9,78.4,1.21,7822,2552,0.271,3117,0,south,7,0
30,6,5,536,0,1,3125,8,dry_van,4,95.3,0.87,6819,1258,0.55,619,0,midwest,6,1
39,16,13,661,0,1,2511,15,dry_van,2,42.3,2.52,4715,579,1.195,6368,1,northeast,9,0
44,21,15,654,1,0,3092,8,reefer,2,81.8,3.87,7490,2168,0.319,1341,2,southeast,3,0
40,19,13,730,1,0,2459,14,reefer,3,88.8,0.64,5627,1145,0.604,433,1,west,8,0
36,12,12,713,0,2,2382,7,flatbed,4,72.7,1.03,6166,1284,0.539,2320,0,west,12,0
45,22,20,808,0,0,2058,14,dry_van,5,76.0,3.12,4184,882,0.785,4240,0,south,11,0
37,16,15,635,0,0,3190,12,dry_van,6,58.9,2.2,7567,1493,0.463,1250,0,south,12,0
36,15,14,622,1,0,2465,12,dry_van,1,75.4,1.4,5285,1181,0.586,3678,2,northeast,11,0
45,22,18,549,0,0,1510,15,dry_van,2,79.6,2.78,3138,212,3.259,8640,2,south,11,0
38,17,16,689,0,0,2844,9,dry_van,3,73.1,4.3,5935,1383,0.5,2604,3,west,9,0
44,22,17,648,0,2,2405,12,reefer,5,57.8,1.03,5634,1103,0.627,437,1,west,1,1
45,24,20,686,0,3,2466,13,dry_van,9,89.8,0.5,5606,1429,0.484,1762,1,south,11,0
31,8,6,560,0,0,2495,11,flatbed,5,65.7,0.71,6385,1466,0.472,1057,3,south,3,0
37,14,12,665,1,0,2449,15,reefer,3,95.9,1.28,5737,915,0.756,214,0,midwest,12,0
56,32,32,654,1,1,3827,13,dry_van,5,95.4,2.03,8783,2302,0.301,400,1,midwest,4,0
30,5,5,650,1,0,3348,10,dry_van,8,64.5,3.37,8593,2669,0.259,13265,1,west,10,0
21,0,0,592,1,1,2915,16,reefer,5,74.7,0.5,6600,1432,0.483,1196,1,midwest,11,1
23,2,0,723,0,2,2709,14,dry_van,3,83.4,5.34,5950,1156,0.599,1457,2,west,7,0
42,15,12,784,0,1,3108,9,dry_van,5,72.7,1.09,6179,1110,0.624,469,2,midwest,11,0
42,18,14,562,1,2,2710,9,dry_van,3,91.3,2.52,6103,1360,0.509,16466,0,south,12,0
41,19,15,690,0,4,2967,11,dry_van,10,93.6,9.39,7147,2090,0.331,2811,1,northeast,1,0
54,30,21,439,0,0,2851,14,reefer,5,82.7,1.09,6052,1360,0.509,1241,1,northeast,1,1
21,0,0,687,1,0,2658,4,dry_van,4,66.0,1.08,5889,1561,0.443,4307,1,midwest,10,0
46,24,19,509,0,4,3023,9,dry_van,4,76.0,4.56,5488,1253,0.552,7531,1,northeast,11,0
58,33,32,603,1,0,2411,10,reefer,4,77.9,5.17,5503,1502,0.461,186,1,west,1,1
31,7,4,548,0,0,2626,7,reefer,4,65.7,1.33,6252,1704,0.406,6983,1,southeast,8,0
38,9,7,625,0,1,2159,8,dry_van,5,74.6,0.9,4903,791,0.874,680,1,northeast,3,0
34,12,11,699,1,0,2211,12,dry_van,3,41.9,0.5,4276,771,0.897,296,2,southeast,7,0
33,9,0,510,1,2,1462,10,dry_van,5,87.1,0.5,2784,205,3.382,17132,0,northeast,2,1
39,16,14,615,0,2,2805,11,dry_van,3,96.3,1.58,5610,1103,0.627,2638,2,midwest,7,0
56,35,35,604,0,0,2929,7,dry_van,4,76.5,0.5,6395,1775,0.39,876,1,west,9,0
60,38,38,751,1,0,3088,11,reefer,6,91.6,2.52,6494,1913,0.362,14075,2,southeast,7,0
39,9,6,670,0,0,2104,7,dry_van,3,87.2,3.66,5533,1598,0.433,1074,0,northeast,4,0
61,38,15,558,0,1,2798,17,flatbed,6,77.8,0.67,6736,2091,0.331,594,2,south,5,1
42,21,21,607,1,2,2600,18,dry_van,4,81.6,4.2,5127,1364,0.507,4798,3,northeast,3,0
60,37,29,749,1,1,2932,10,dry_van,6,89.2,2.92,5520,1500,0.461,316,1,west,10,0
41,16,8,690,1,0,2307,8,flatbed,7,80.9,2.85,6113,1219,0.568,1892,1,midwest,6,0
43,16,14,576,1,4,2449,15,flatbed,4,67.7,0.68,5976,1659,0.417,372,0,southeast,7,0
46,22,20,621,1,0,1901,14,dry_van,4,79.4,1.79,4297,522,1.327,530,1,northeast,7,1
70,45,34,624,0,0,2277,19,dry_van,7,95.4,3.83,5049,1195,0.579,3444,0,midwest,1,0
51,27,22,602,0,1,2601,19,reefer,8,71.3,1.22,7225,1812,0.382,623,2,south,1,0
35,11,0,520,1,0,2678,5,reefer,3,92.7,5.47,5787,1589,0.435,4384,1,southeast,3,1
52,23,16,593,1,1,1841,16,dry_van,7,88.0,2.53,3934,682,1.014,167,0,west,3,0
38,14,0,737,1,1,2370,11,dry_van,8,90.2,3.95,4973,1448,0.478,1419,0,midwest,3,0
37,14,9,613,0,0,2672,14,dry_van,3,86.4,0.73,4640,1243,0.557,982,1,south,5,0
51,29,25,633,0,2,3234,15,reefer,2,71.0,2.85,8046,2325,0.298,1377,2,south,3,0
42,19,12,650,0,0,2220,15,dry_van,3,98.2,0.62,4636,834,0.83,1118,2,midwest,10,0
45,23,20,795,1,2,2821,16,dry_van,8,66.6,1.27,6473,1172,0.59,2716,1,northeast,4,0
42,21,15,641,0,1,2347,10,flatbed,7,60.6,0.5,6058,1176,0.589,2857,3,southeast,1,0
45,17,16,717,0,0,2399,9,flatbed,3,82.1,4.34,6079,1196,0.579,1159,1,southeast,9,0
46,24,17,598,1,0,2205,16,reefer,3,66.3,2.95,5870,1307,0.53,1016,1,south,12,0
23,0,0,622,1,2,2130,9,dry_van,2,79.2,7.18,4263,861,0.803,2835,1,south,1,1
49,23,21,641,1,1,2386,19,dry_van,1,72.8,2.06,5515,866,0.799,3233,2,west,8,0
32,10,9,586,0,1,3072,9,reefer,8,35.2,1.04,7581,2612,0.265,157,2,midwest,5,0
28,6,2,626,1,0,2260,11,reefer,4,64.5,6.42,6153,1984,0.349,394,2,midwest,6,0
41,16,1,702,1,0,2190,11,dry_van,5,62.7,15.0,4601,646,1.07,456,0,west,11,0
43,22,20,584,1,3,2694,7,dry_van,6,94.6,4.96,7001,1351,0.512,1078,2,south,9,0
35,10,7,640,1,1,2602,7,flatbed,5,99.6,5.52,6395,1866,0.371,208,0,midwest,12,0
50,28,22,690,0,1,2569,15,dry_van,5,96.8,1.01,5741,1364,0.507,2949,4,south,3,0
29,7,5,582,1,1,2714,6,flatbed,2,89.5,1.71,6585,1886,0.367,602,0,west,6,0
38,16,16,717,1,0,2146,21,dry_van,5,56.1,4.97,4970,1128,0.614,3894,0,south,1,0
36,9,7,645,0,1,2195,12,reefer,5,87.5,2.34,5030,1058,0.654,846,2,midwest,8,0
42,14,10,628,0,0,3044,8,dry_van,3,62.7,2.82,8162,1784,0.388,4661,2,west,11,0
45,23,20,499,1,1,2534,13,dry_van,5,92.3,0.96,5543,1698,0.408,1192,0,midwest,4,1
32,8,8,614,1,2,2868,3,flatbed,1,87.3,2.5,7261,1662,0.416,1407,1,northeast,7,0
49,12,8,666,1,0,3151,11,reefer,3,79.3,3.12,6974,2289,0.302,3696,3,midwest,6,0
43,21,9,762,1,1,2981,11,dry_van,6,89.8,1.49,5208,709,0.976,1033,4,west,12,0
23,0,0,680,0,0,1984,8,dry_van,7,77.0,8.51,4394,857,0.807,285,1,south,10,0
22,0,0,719,0,2,2548,10,dry_van,3,81.2,2.46,4927,995,0.695,290,1,midwest,8,0
42,13,13,555,1,0,3068,17,reefer,3,90.3,3.67,7805,1928,0.359,5136,3,northeast,8,0
40,19,19,631,1,1,2835,13,dry_van,5,87.5,4.43,4571,591,1.17,431,2,west,9,0
41,20,5,725,1,1,2683,13,dry_van,7,92.5,1.83,5188,1439,0.481,1096,0,midwest,9,0
42,20,20,578,0,0,1862,9,dry_van,4,85.9,1.31,4030,722,0.958,8265,0,southeast,11,0
44,23,23,708,1,2,2323,7,reefer,5,83.4,1.41,6222,1605,0.431,912,1,northeast,1,0
51,29,27,691,1,1,2631,11,dry_van,3,67.6,4.73,5612,952,0.727,759,1,south,9,0
31,5,3,659,1,0,1958,3,flatbed,8,91.1,1.32,5057,1138,0.608,2268,1,midwest,11,0
30,8,7,617,0,1,2957,8,reefer,4,86.9,8.27,6427,1537,0.45,7611,1,midwest,5,0
31,10,3,571,0,1,2547,8,flatbed,4,71.1,0.5,6485,1526,0.453,10909,2,midwest,3,0
45,14,9,764,1,1,1709,5,dry_van,3,77.0,8.18,3529,729,0.949,744,1,west,4,0
54,33,29,684,0,2,2345,14,dry_van,3,82.9,3.55,5807,962,0.719,3256,1,midwest,7,0
38,15,14,664,0,0,2471,12,flatbed,7,70.4,2.38,5287,1219,0.568,1541,0,midwest,6,0
21,0,0,611,1,1,2542,10,dry_van,5,80.5,0.78,5833,1409,0.491,1609,1,midwest,12,0
25,3,2,643,0,2,3239,14,flatbed,5,87.7,1.08,7793,1538,0.45,2909,3,northeast,6,0
34,13,13,652,0,0,2860,6,dry_van,5,70.7,2.57,6031,1780,0.389,2535,0,northeast,5,0
36,13,10,668,1,0,1986,7,reefer,3,86.7,1.39,4684,1001,0.691,558,2,south,6,0
38,16,14,691,0,0,1930,16,reefer,5,61.7,1.01,4434,1024,0.676,562,1,south,11,0
42,18,18,585,1,0,2480,20,reefer,3,72.6,2.21,5408,862,0.803,10570,1,midwest,6,0
39,18,8,537,1,0,2657,14,reefer,5,79.1,1.6,5548,1405,0.493,966,0,west,8,1
52,27,14,646,1,1,3047,14,dry_van,6,70.1,5.96,8061,1902,0.364,3332,0,south,12,0
35,11,11,518,0,0,3378,10,dry_van,3,86.2,4.13,7157,2011,0.344,9136,0,south,2,0
33,9,0,617,0,0,3403,10,dry_van,3,88.0,4.12,6610,1261,0.549,1442,0,midwest,8,0
